trial,strategy,offset,returncode,signal,crashed,hijacked,backtrace_path
134,boundary,24,-4,4,False,True,
135,boundary,19,-11,11,True,False,backtraces/4a_trialboundary_135_offset19.txt
136,boundary,28,-11,11,True,False,backtraces/4a_trialboundary_136_offset28.txt
137,boundary,25,-11,11,True,False,backtraces/4a_trialboundary_137_offset25.txt
138,boundary,24,-4,4,False,True,
139,boundary,32,-11,11,True,False,backtraces/4a_trialboundary_139_offset32.txt
140,boundary,18,-11,11,True,False,backtraces/4a_trialboundary_140_offset18.txt
141,boundary,28,-11,11,True,False,backtraces/4a_trialboundary_141_offset28.txt
142,boundary,20,-7,7,False,False,
143,boundary,29,-11,11,True,False,backtraces/4a_trialboundary_143_offset29.txt
144,boundary,21,-7,7,False,False,
145,boundary,13,-11,11,True,False,backtraces/4a_trialboundary_145_offset13.txt
146,boundary,32,-11,11,True,False,backtraces/4a_trialboundary_146_offset32.txt
147,boundary,29,-11,11,True,False,backtraces/4a_trialboundary_147_offset29.txt
148,boundary,23,-11,11,True,False,backtraces/4a_trialboundary_148_offset23.txt
149,boundary,18,-11,11,True,False,backtraces/4a_trialboundary_149_offset18.txt
