trial,strategy,payload_length,returncode,signal,crashed,backtrace_path
123,random,224,0,,False,
124,random,435,-11,11,True,backtraces/4b_trialrandom_124_len435.txt
125,random,275,-11,11,True,backtraces/4b_trialrandom_125_len275.txt
126,random,232,0,,False,
127,random,5,0,,False,
128,random,202,0,,False,
129,random,428,-11,11,True,backtraces/4b_trialrandom_129_len428.txt
130,random,173,0,,False,
131,random,87,0,,False,
132,random,132,0,,False,
133,random,248,0,,False,
134,random,12,0,,False,
135,random,406,-11,11,True,backtraces/4b_trialrandom_135_len406.txt
136,random,330,-11,11,True,backtraces/4b_trialrandom_136_len330.txt
137,random,477,-11,11,True,backtraces/4b_trialrandom_137_len477.txt
138,random,213,0,,False,
139,random,499,-11,11,True,backtraces/4b_trialrandom_139_len499.txt
140,random,292,-11,11,True,backtraces/4b_trialrandom_140_len292.txt
141,random,9,0,,False,
142,random,31,0,,False,
143,random,354,-11,11,True,backtraces/4b_trialrandom_143_len354.txt
144,random,181,0,,False,
145,random,296,-11,11,True,backtraces/4b_trialrandom_145_len296.txt
146,random,70,0,,False,
147,random,303,-11,11,True,backtraces/4b_trialrandom_147_len303.txt
148,random,64,0,,False,
149,random,70,0,,False,
