trial,strategy,payload_length,returncode,signal,crashed,backtrace_path
0,random,229,0,,False,
1,random,46,0,,False,
2,random,333,-11,11,True,backtraces/4b_trialrandom_2_len333.txt
3,random,294,-11,11,True,backtraces/4b_trialrandom_3_len294.txt
4,random,329,-11,11,True,backtraces/4b_trialrandom_4_len329.txt
5,random,173,0,,False,
6,random,481,-11,11,True,backtraces/4b_trialrandom_6_len481.txt
7,random,116,0,,False,
8,random,199,0,,False,
9,random,494,-11,11,True,backtraces/4b_trialrandom_9_len494.txt
10,random,157,0,,False,
11,random,21,0,,False,
12,random,167,0,,False,
13,random,95,0,,False,
14,random,162,0,,False,
15,random,405,-11,11,True,backtraces/4b_trialrandom_15_len405.txt
16,random,433,-11,11,True,backtraces/4b_trialrandom_16_len433.txt
17,random,296,-11,11,True,backtraces/4b_trialrandom_17_len296.txt
18,random,457,-11,11,True,backtraces/4b_trialrandom_18_len457.txt
19,random,471,-11,11,True,backtraces/4b_trialrandom_19_len471.txt
20,random,155,0,,False,
21,random,125,0,,False,
22,random,171,0,,False,
23,random,51,0,,False,
24,random,278,-11,11,True,backtraces/4b_trialrandom_24_len278.txt
25,random,313,-11,11,True,backtraces/4b_trialrandom_25_len313.txt
26,random,296,-11,11,True,backtraces/4b_trialrandom_26_len296.txt
27,random,413,-11,11,True,backtraces/4b_trialrandom_27_len413.txt
28,random,305,-11,11,True,backtraces/4b_trialrandom_28_len305.txt
29,random,47,0,,False,
30,random,125,0,,False,
31,random,112,0,,False,
32,random,10,0,,False,
33,random,413,-11,11,True,backtraces/4b_trialrandom_33_len413.txt
34,random,124,0,,False,
35,random,205,0,,False,
36,random,37,0,,False,
37,random,137,0,,False,
38,random,282,-11,11,True,backtraces/4b_trialrandom_38_len282.txt
39,random,444,-11,11,True,backtraces/4b_trialrandom_39_len444.txt
40,random,36,0,,False,
41,random,373,-11,11,True,backtraces/4b_trialrandom_41_len373.txt
42,random,38,0,,False,
43,random,11,0,,False,
44,random,325,-11,11,True,backtraces/4b_trialrandom_44_len325.txt
45,random,5,0,,False,
46,random,148,0,,False,
47,random,384,-11,11,True,backtraces/4b_trialrandom_47_len384.txt
48,random,405,-11,11,True,backtraces/4b_trialrandom_48_len405.txt
49,random,183,0,,False,
50,random,252,0,,False,
51,random,240,0,,False,
52,random,441,-11,11,True,backtraces/4b_trialrandom_52_len441.txt
53,random,439,-11,11,True,backtraces/4b_trialrandom_53_len439.txt
54,random,78,0,,False,
55,random,51,0,,False,
56,random,256,0,,False,
57,random,398,-11,11,True,backtraces/4b_trialrandom_57_len398.txt
58,random,407,-11,11,True,backtraces/4b_trialrandom_58_len407.txt
59,random,167,0,,False,
60,random,39,0,,False,
61,random,260,0,,False,
62,random,486,-11,11,True,backtraces/4b_trialrandom_62_len486.txt
63,random,340,-11,11,True,backtraces/4b_trialrandom_63_len340.txt
64,random,88,0,,False,
65,random,91,0,,False,
66,random,397,-11,11,True,backtraces/4b_trialrandom_66_len397.txt
67,random,76,0,,False,
68,random,72,0,,False,
69,random,420,-11,11,True,backtraces/4b_trialrandom_69_len420.txt
70,random,443,-11,11,True,backtraces/4b_trialrandom_70_len443.txt
71,random,163,0,,False,
72,random,156,0,,False,
73,random,54,0,,False,
74,random,363,-11,11,True,backtraces/4b_trialrandom_74_len363.txt
75,random,263,0,,False,
76,random,427,-11,11,True,backtraces/4b_trialrandom_76_len427.txt
77,random,470,-11,11,True,backtraces/4b_trialrandom_77_len470.txt
78,random,308,-11,11,True,backtraces/4b_trialrandom_78_len308.txt
79,random,150,0,,False,
80,random,64,0,,False,
81,random,457,-11,11,True,backtraces/4b_trialrandom_81_len457.txt
82,random,105,0,,False,
83,random,72,0,,False,
84,random,279,-11,11,True,backtraces/4b_trialrandom_84_len279.txt
85,random,466,-11,11,True,backtraces/4b_trialrandom_85_len466.txt
86,random,369,-11,11,True,backtraces/4b_trialrandom_86_len369.txt
87,random,16,0,,False,
88,random,399,-11,11,True,backtraces/4b_trialrandom_88_len399.txt
89,random,161,0,,False,
90,random,420,-11,11,True,backtraces/4b_trialrandom_90_len420.txt
91,random,462,-11,11,True,backtraces/4b_trialrandom_91_len462.txt
92,random,319,-11,11,True,backtraces/4b_trialrandom_92_len319.txt
93,random,411,-11,11,True,backtraces/4b_trialrandom_93_len411.txt
94,random,344,-11,11,True,backtraces/4b_trialrandom_94_len344.txt
95,random,464,-11,11,True,backtraces/4b_trialrandom_95_len464.txt
96,random,283,-11,11,True,backtraces/4b_trialrandom_96_len283.txt
97,random,430,-11,11,True,backtraces/4b_trialrandom_97_len430.txt
98,random,483,-11,11,True,backtraces/4b_trialrandom_98_len483.txt
99,random,382,-11,11,True,backtraces/4b_trialrandom_99_len382.txt
100,random,353,-11,11,True,backtraces/4b_trialrandom_100_len353.txt
101,random,105,0,,False,
102,random,91,0,,False,
103,random,153,0,,False,
104,random,221,0,,False,
105,random,275,-11,11,True,backtraces/4b_trialrandom_105_len275.txt
106,random,80,0,,False,
107,random,24,0,,False,
108,random,365,-11,11,True,backtraces/4b_trialrandom_108_len365.txt
109,random,441,-11,11,True,backtraces/4b_trialrandom_109_len441.txt
110,random,341,-11,11,True,backtraces/4b_trialrandom_110_len341.txt
111,random,126,0,,False,
112,random,129,0,,False,
113,random,398,-11,11,True,backtraces/4b_trialrandom_113_len398.txt
114,random,32,0,,False,
115,random,349,-11,11,True,backtraces/4b_trialrandom_115_len349.txt
116,random,493,-11,11,True,backtraces/4b_trialrandom_116_len493.txt
117,random,228,0,,False,
118,random,413,-11,11,True,backtraces/4b_trialrandom_118_len413.txt
119,random,220,0,,False,
120,random,281,-11,11,True,backtraces/4b_trialrandom_120_len281.txt
121,random,128,0,,False,
122,random,277,-11,11,True,backtraces/4b_trialrandom_122_len277.txt
