trial,strategy,offset,returncode,signal,crashed,hijacked,backtrace_path
131,random,26,-11,11,True,False,backtraces/4a_trialrandom_131_offset26.txt
132,random,6,0,,False,False,
133,random,33,-11,11,True,False,backtraces/4a_trialrandom_133_offset33.txt
134,random,79,-11,11,True,False,backtraces/4a_trialrandom_134_offset79.txt
135,random,128,-11,11,True,False,backtraces/4a_trialrandom_135_offset128.txt
136,random,56,-11,11,True,False,backtraces/4a_trialrandom_136_offset56.txt
137,random,68,-11,11,True,False,backtraces/4a_trialrandom_137_offset68.txt
138,random,61,-11,11,True,False,backtraces/4a_trialrandom_138_offset61.txt
139,random,83,-11,11,True,False,backtraces/4a_trialrandom_139_offset83.txt
140,random,47,-11,11,True,False,backtraces/4a_trialrandom_140_offset47.txt
141,random,111,-11,11,True,False,backtraces/4a_trialrandom_141_offset111.txt
142,random,24,-11,11,True,True,backtraces/4a_trialrandom_142_offset24.txt
143,random,26,-11,11,True,False,backtraces/4a_trialrandom_143_offset26.txt
144,random,82,-11,11,True,False,backtraces/4a_trialrandom_144_offset82.txt
145,random,85,-11,11,True,False,backtraces/4a_trialrandom_145_offset85.txt
146,random,57,-11,11,True,False,backtraces/4a_trialrandom_146_offset57.txt
147,random,112,-11,11,True,False,backtraces/4a_trialrandom_147_offset112.txt
148,random,43,-11,11,True,False,backtraces/4a_trialrandom_148_offset43.txt
149,random,20,-7,7,False,False,
