trial,strategy,payload_length,returncode,signal,crashed,backtrace_path
134,boundary,250,0,,False,
135,boundary,277,-11,11,True,backtraces/4b_trialboundary_135_len277.txt
136,boundary,246,0,,False,
137,boundary,253,0,,False,
138,boundary,287,-11,11,True,backtraces/4b_trialboundary_138_len287.txt
139,boundary,261,0,,False,
140,boundary,255,0,,False,
141,boundary,292,-11,11,True,backtraces/4b_trialboundary_141_len292.txt
142,boundary,244,0,,False,
143,boundary,266,-11,11,True,backtraces/4b_trialboundary_143_len266.txt
144,boundary,264,-7,7,False,
145,boundary,263,0,,False,
146,boundary,267,-11,11,True,backtraces/4b_trialboundary_146_len267.txt
147,boundary,242,0,,False,
148,boundary,246,0,,False,
149,boundary,265,-11,11,True,backtraces/4b_trialboundary_149_len265.txt
