trial,strategy,offset,returncode,signal,crashed,hijacked,backtrace_path
0,boundary,20,-7,7,False,False,
1,boundary,30,-11,11,True,False,backtraces/4a_trialboundary_1_offset30.txt
2,boundary,28,-11,11,True,False,backtraces/4a_trialboundary_2_offset28.txt
3,boundary,20,-7,7,False,False,
4,boundary,24,-11,11,True,True,backtraces/4a_trialboundary_4_offset24.txt
5,boundary,27,-11,11,True,False,backtraces/4a_trialboundary_5_offset27.txt
6,boundary,21,-7,7,False,False,
7,boundary,23,-11,11,True,False,backtraces/4a_trialboundary_7_offset23.txt
8,boundary,27,-11,11,True,False,backtraces/4a_trialboundary_8_offset27.txt
9,boundary,15,-11,11,True,False,backtraces/4a_trialboundary_9_offset15.txt
10,boundary,26,-11,11,True,False,backtraces/4a_trialboundary_10_offset26.txt
11,boundary,28,-11,11,True,False,backtraces/4a_trialboundary_11_offset28.txt
12,boundary,27,-11,11,True,False,backtraces/4a_trialboundary_12_offset27.txt
13,boundary,17,-11,11,True,False,backtraces/4a_trialboundary_13_offset17.txt
14,boundary,26,-11,11,True,False,backtraces/4a_trialboundary_14_offset26.txt
15,boundary,20,-7,7,False,False,
16,boundary,27,-11,11,True,False,backtraces/4a_trialboundary_16_offset27.txt
17,boundary,27,-11,11,True,False,backtraces/4a_trialboundary_17_offset27.txt
18,boundary,25,-11,11,True,False,backtraces/4a_trialboundary_18_offset25.txt
19,boundary,20,-7,7,False,False,
20,boundary,21,-7,7,False,False,
21,boundary,28,-11,11,True,False,backtraces/4a_trialboundary_21_offset28.txt
22,boundary,20,-7,7,False,False,
23,boundary,26,-11,11,True,False,backtraces/4a_trialboundary_23_offset26.txt
24,boundary,27,-11,11,True,False,backtraces/4a_trialboundary_24_offset27.txt
25,boundary,23,-11,11,True,False,backtraces/4a_trialboundary_25_offset23.txt
26,boundary,36,-11,11,True,False,backtraces/4a_trialboundary_26_offset36.txt
27,boundary,24,-4,4,False,True,
28,boundary,35,-11,11,True,False,backtraces/4a_trialboundary_28_offset35.txt
29,boundary,14,-11,11,True,False,backtraces/4a_trialboundary_29_offset14.txt
30,boundary,13,-11,11,True,False,backtraces/4a_trialboundary_30_offset13.txt
31,boundary,29,-11,11,True,False,backtraces/4a_trialboundary_31_offset29.txt
32,boundary,27,-11,11,True,False,backtraces/4a_trialboundary_32_offset27.txt
33,boundary,22,-11,11,True,False,backtraces/4a_trialboundary_33_offset22.txt
34,boundary,24,-11,11,True,True,backtraces/4a_trialboundary_34_offset24.txt
35,boundary,14,-11,11,True,False,backtraces/4a_trialboundary_35_offset14.txt
36,boundary,21,-7,7,False,False,
37,boundary,19,-11,11,True,False,backtraces/4a_trialboundary_37_offset19.txt
38,boundary,23,-11,11,True,False,backtraces/4a_trialboundary_38_offset23.txt
39,boundary,28,-11,11,True,False,backtraces/4a_trialboundary_39_offset28.txt
40,boundary,24,-11,11,True,True,backtraces/4a_trialboundary_40_offset24.txt
41,boundary,26,-11,11,True,False,backtraces/4a_trialboundary_41_offset26.txt
42,boundary,21,-7,7,False,False,
43,boundary,22,-11,11,True,False,backtraces/4a_trialboundary_43_offset22.txt
44,boundary,25,-11,11,True,False,backtraces/4a_trialboundary_44_offset25.txt
45,boundary,23,-11,11,True,False,backtraces/4a_trialboundary_45_offset23.txt
46,boundary,30,-11,11,True,False,backtraces/4a_trialboundary_46_offset30.txt
47,boundary,20,-7,7,False,False,
48,boundary,33,-11,11,True,False,backtraces/4a_trialboundary_48_offset33.txt
49,boundary,19,-11,11,True,False,backtraces/4a_trialboundary_49_offset19.txt
50,boundary,29,-11,11,True,False,backtraces/4a_trialboundary_50_offset29.txt
51,boundary,20,-7,7,False,False,
52,boundary,32,-11,11,True,False,backtraces/4a_trialboundary_52_offset32.txt
53,boundary,25,-11,11,True,False,backtraces/4a_trialboundary_53_offset25.txt
54,boundary,26,-11,11,True,False,backtraces/4a_trialboundary_54_offset26.txt
55,boundary,28,-11,11,True,False,backtraces/4a_trialboundary_55_offset28.txt
56,boundary,21,-7,7,False,False,
57,boundary,19,-11,11,True,False,backtraces/4a_trialboundary_57_offset19.txt
58,boundary,14,-11,11,True,False,backtraces/4a_trialboundary_58_offset14.txt
59,boundary,30,-11,11,True,False,backtraces/4a_trialboundary_59_offset30.txt
60,boundary,21,-7,7,False,False,
61,boundary,21,-7,7,False,False,
62,boundary,24,-11,11,True,True,backtraces/4a_trialboundary_62_offset24.txt
63,boundary,34,-11,11,True,False,backtraces/4a_trialboundary_63_offset34.txt
64,boundary,15,-11,11,True,False,backtraces/4a_trialboundary_64_offset15.txt
65,boundary,25,-11,11,True,False,backtraces/4a_trialboundary_65_offset25.txt
66,boundary,22,-11,11,True,False,backtraces/4a_trialboundary_66_offset22.txt
67,boundary,27,-11,11,True,False,backtraces/4a_trialboundary_67_offset27.txt
68,boundary,15,-11,11,True,False,backtraces/4a_trialboundary_68_offset15.txt
69,boundary,22,-11,11,True,False,backtraces/4a_trialboundary_69_offset22.txt
70,boundary,28,-11,11,True,False,backtraces/4a_trialboundary_70_offset28.txt
71,boundary,32,-11,11,True,False,backtraces/4a_trialboundary_71_offset32.txt
72,boundary,32,-11,11,True,False,backtraces/4a_trialboundary_72_offset32.txt
73,boundary,20,-7,7,False,False,
74,boundary,24,-4,4,False,True,
75,boundary,23,-11,11,True,False,backtraces/4a_trialboundary_75_offset23.txt
76,boundary,17,-11,11,True,False,backtraces/4a_trialboundary_76_offset17.txt
77,boundary,17,-11,11,True,False,backtraces/4a_trialboundary_77_offset17.txt
78,boundary,28,-11,11,True,False,backtraces/4a_trialboundary_78_offset28.txt
79,boundary,25,-11,11,True,False,backtraces/4a_trialboundary_79_offset25.txt
80,boundary,23,-11,11,True,False,backtraces/4a_trialboundary_80_offset23.txt
81,boundary,30,-11,11,True,False,backtraces/4a_trialboundary_81_offset30.txt
82,boundary,19,-11,11,True,False,backtraces/4a_trialboundary_82_offset19.txt
83,boundary,27,-11,11,True,False,backtraces/4a_trialboundary_83_offset27.txt
84,boundary,24,-4,4,False,True,
85,boundary,24,-11,11,True,True,backtraces/4a_trialboundary_85_offset24.txt
